"","variable","gene","value","Scan Name","Target","Sample_ID","Group"
"7","DSP1001660035014AA02.dcc","DCDC2",8.79769959212792,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"8","DSP1001660035014AA02.dcc","PKHD1",8.98885082380389,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"9","DSP1001660035014AA02.dcc","HES4",6.73946792089278,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"10","DSP1001660035014AA02.dcc","BICC1",7.93315011418464,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"11","DSP1001660035014AA02.dcc","JAG1",8.03123516842545,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"12","DSP1001660035014AA02.dcc","SOX4",8.44118398285421,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"13","DSP1001660035014AA02.dcc","TACSTD2",8.31704270491324,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"14","DSP1001660035014AA02.dcc","HES1",7.08224973266116,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","IHD"
"15","DSP1001660035014AA02.dcc","TFF2",6.17916657334261,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"16","DSP1001660035014AA02.dcc","TFF3",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"17","DSP1001660035014AA02.dcc","TFF1",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"18","DSP1001660035014AA02.dcc","AQP5",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","CBD"
"19","DSP1001660035014AA02.dcc","FGF19",5.45302617805842,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"20","DSP1001660035014AA02.dcc","SLC15A1",6.8864877907776,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"21","DSP1001660035014AA02.dcc","MUC13",6.48634861979583,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"22","DSP1001660035014AA02.dcc","SLC13A1",5.63042296478933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"23","DSP1001660035014AA02.dcc","SOX17",5.93072901759731,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A02","GB"
"30","DSP1001660035014AA03.dcc","DCDC2",8.44769327761588,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"31","DSP1001660035014AA03.dcc","PKHD1",9.00099214953928,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"32","DSP1001660035014AA03.dcc","HES4",6.83072840761108,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"33","DSP1001660035014AA03.dcc","BICC1",8.07383643858659,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"34","DSP1001660035014AA03.dcc","JAG1",7.67891888989687,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"35","DSP1001660035014AA03.dcc","SOX4",8.69233779393849,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"36","DSP1001660035014AA03.dcc","TACSTD2",8.19089019842218,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"37","DSP1001660035014AA03.dcc","HES1",6.73116162125214,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","IHD"
"38","DSP1001660035014AA03.dcc","TFF2",6.01096752832503,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"39","DSP1001660035014AA03.dcc","TFF3",6.73116162125214,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"40","DSP1001660035014AA03.dcc","TFF1",5.5081468028096,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"41","DSP1001660035014AA03.dcc","AQP5",5.92345663386228,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","CBD"
"42","DSP1001660035014AA03.dcc","FGF19",4.92263948427129,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"43","DSP1001660035014AA03.dcc","SLC15A1",7.13337358128648,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"44","DSP1001660035014AA03.dcc","MUC13",7.01135189641527,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"45","DSP1001660035014AA03.dcc","SLC13A1",5.0927461145141,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"46","DSP1001660035014AA03.dcc","SOX17",5.7306948485972,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A03","GB"
"53","DSP1001660035014AA04.dcc","DCDC2",8.6992202252415,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"54","DSP1001660035014AA04.dcc","PKHD1",9.20035494124689,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"55","DSP1001660035014AA04.dcc","HES4",5.82218460242906,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"56","DSP1001660035014AA04.dcc","BICC1",7.60497874191463,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"57","DSP1001660035014AA04.dcc","JAG1",7.88333705675297,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"58","DSP1001660035014AA04.dcc","SOX4",8.15203070607391,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"59","DSP1001660035014AA04.dcc","TACSTD2",7.49882552252942,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"60","DSP1001660035014AA04.dcc","HES1",6.50945126267059,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","IHD"
"61","DSP1001660035014AA04.dcc","TFF2",5.41846726124489,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","CBD"
"62","DSP1001660035014AA04.dcc","TFF3",6.61485328678583,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","CBD"
"63","DSP1001660035014AA04.dcc","TFF1",5.98831639275019,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","CBD"
"64","DSP1001660035014AA04.dcc","AQP5",6.27228774712294,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","CBD"
"65","DSP1001660035014AA04.dcc","FGF19",4.85588203962967,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","GB"
"66","DSP1001660035014AA04.dcc","SLC15A1",7.1235098467537,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","GB"
"67","DSP1001660035014AA04.dcc","MUC13",7.25975520592102,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","GB"
"68","DSP1001660035014AA04.dcc","SLC13A1",5.41846726124489,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","GB"
"69","DSP1001660035014AA04.dcc","SOX17",5.63440190126178,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A04","GB"
"76","DSP1001660035014AA05.dcc","DCDC2",8.62456106542693,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"77","DSP1001660035014AA05.dcc","PKHD1",9.26023268058181,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"78","DSP1001660035014AA05.dcc","HES4",6.89066476253604,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"79","DSP1001660035014AA05.dcc","BICC1",8.003781566459,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"80","DSP1001660035014AA05.dcc","JAG1",8.39737537316229,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"81","DSP1001660035014AA05.dcc","SOX4",8.90972691427263,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"82","DSP1001660035014AA05.dcc","TACSTD2",8.26878591511542,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"83","DSP1001660035014AA05.dcc","HES1",6.66400188456032,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","IHD"
"84","DSP1001660035014AA05.dcc","TFF2",5.25360306042248,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","CBD"
"85","DSP1001660035014AA05.dcc","TFF3",6.06399244663517,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","CBD"
"86","DSP1001660035014AA05.dcc","TFF1",5.93433047052922,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","CBD"
"87","DSP1001660035014AA05.dcc","AQP5",5.93433047052922,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","CBD"
"88","DSP1001660035014AA05.dcc","FGF19",5.45616112999646,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","GB"
"89","DSP1001660035014AA05.dcc","SLC15A1",7.31208433843797,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","GB"
"90","DSP1001660035014AA05.dcc","MUC13",6.06399244663517,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","GB"
"91","DSP1001660035014AA05.dcc","SLC13A1",5.25360306042248,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","GB"
"92","DSP1001660035014AA05.dcc","SOX17",6.39496752295649,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A05","GB"
"99","DSP1001660035014AA06.dcc","DCDC2",8.94798653679832,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"100","DSP1001660035014AA06.dcc","PKHD1",8.50166096005516,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"101","DSP1001660035014AA06.dcc","HES4",7.52441035422048,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"102","DSP1001660035014AA06.dcc","BICC1",7.72974557036868,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"103","DSP1001660035014AA06.dcc","JAG1",8.01793256544727,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"104","DSP1001660035014AA06.dcc","SOX4",8.94798653679832,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"105","DSP1001660035014AA06.dcc","TACSTD2",8.06925439431668,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"106","DSP1001660035014AA06.dcc","HES1",7.59615207127632,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","IHD"
"107","DSP1001660035014AA06.dcc","TFF2",4.6167204323389,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","CBD"
"108","DSP1001660035014AA06.dcc","TFF3",6.49571333957697,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","CBD"
"109","DSP1001660035014AA06.dcc","TFF1",4.6167204323389,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","CBD"
"110","DSP1001660035014AA06.dcc","AQP5",5.95608006198594,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","CBD"
"111","DSP1001660035014AA06.dcc","FGF19",4.6167204323389,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","GB"
"112","DSP1001660035014AA06.dcc","SLC15A1",7.44891355044854,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","GB"
"113","DSP1001660035014AA06.dcc","MUC13",6.33725486384945,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","GB"
"114","DSP1001660035014AA06.dcc","SLC13A1",4.6167204323389,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","GB"
"115","DSP1001660035014AA06.dcc","SOX17",5.95608006198594,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A06","GB"
"122","DSP1001660035014AA07.dcc","DCDC2",8.93322942225018,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"123","DSP1001660035014AA07.dcc","PKHD1",8.99092308891934,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"124","DSP1001660035014AA07.dcc","HES4",6.49091664290933,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"125","DSP1001660035014AA07.dcc","BICC1",8.1262919580837,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"126","DSP1001660035014AA07.dcc","JAG1",7.77863424680526,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"127","DSP1001660035014AA07.dcc","SOX4",9.09981856044761,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"128","DSP1001660035014AA07.dcc","TACSTD2",8.88839276607648,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"129","DSP1001660035014AA07.dcc","HES1",7.0205000792244,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","IHD"
"130","DSP1001660035014AA07.dcc","TFF2",5.32476879833912,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","CBD"
"131","DSP1001660035014AA07.dcc","TFF3",6.12921078593265,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","CBD"
"132","DSP1001660035014AA07.dcc","TFF1",5.32476879833912,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","CBD"
"133","DSP1001660035014AA07.dcc","AQP5",5.13309339301953,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","CBD"
"134","DSP1001660035014AA07.dcc","FGF19",5.32476879833912,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","GB"
"135","DSP1001660035014AA07.dcc","SLC15A1",7.17782450639985,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","GB"
"136","DSP1001660035014AA07.dcc","MUC13",6.56875989956417,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","GB"
"137","DSP1001660035014AA07.dcc","SLC13A1",5.49393915911848,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","GB"
"138","DSP1001660035014AA07.dcc","SOX17",5.32476879833912,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A07","GB"
"145","DSP1001660035014AA08.dcc","DCDC2",8.57084185957957,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"146","DSP1001660035014AA08.dcc","PKHD1",8.90639751224878,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"147","DSP1001660035014AA08.dcc","HES4",7.12533696725545,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"148","DSP1001660035014AA08.dcc","BICC1",7.43303983043611,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"149","DSP1001660035014AA08.dcc","JAG1",7.50070361502536,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"150","DSP1001660035014AA08.dcc","SOX4",8.08950738582385,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"151","DSP1001660035014AA08.dcc","TACSTD2",8.43907382209248,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"152","DSP1001660035014AA08.dcc","HES1",7.3620457130277,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","IHD"
"153","DSP1001660035014AA08.dcc","TFF2",5.32342359589869,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"154","DSP1001660035014AA08.dcc","TFF3",6.48911805508308,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"155","DSP1001660035014AA08.dcc","TFF1",5.32342359589869,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"156","DSP1001660035014AA08.dcc","AQP5",6.48911805508308,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","CBD"
"157","DSP1001660035014AA08.dcc","FGF19",5.59513049049522,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"158","DSP1001660035014AA08.dcc","SLC15A1",7.12533696725545,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"159","DSP1001660035014AA08.dcc","MUC13",6.48911805508308,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"160","DSP1001660035014AA08.dcc","SLC13A1",5.82368578300716,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"161","DSP1001660035014AA08.dcc","SOX17",5.59513049049522,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A08","GB"
"168","DSP1001660035014AA09.dcc","DCDC2",8.7148856818225,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"169","DSP1001660035014AA09.dcc","PKHD1",9.10521750178151,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"170","DSP1001660035014AA09.dcc","HES4",6.10237105977206,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"171","DSP1001660035014AA09.dcc","BICC1",7.98193791422682,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"172","DSP1001660035014AA09.dcc","JAG1",7.98193791422682,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"173","DSP1001660035014AA09.dcc","SOX4",8.25914916440231,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"174","DSP1001660035014AA09.dcc","TACSTD2",8.09222602836011,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"175","DSP1001660035014AA09.dcc","HES1",7.15329637777749,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","IHD"
"176","DSP1001660035014AA09.dcc","TFF2",5.78964083874973,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"177","DSP1001660035014AA09.dcc","TFF3",6.10237105977206,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"178","DSP1001660035014AA09.dcc","TFF1",5.13881585865437,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"179","DSP1001660035014AA09.dcc","AQP5",5.26976116720957,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"180","DSP1001660035014AA09.dcc","FGF19",5.50062112924438,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","GB"
